Order ID,Market,Pair,Total Quantity,Remaining Quantity,Price Per Unit,Avg Price,Fee Amount,Total Tds INR,Side,Order Type,Status,Exchange code,Created At,Updated At
1bf699d4-abab-11ef-9570-4fbdd12cbbd3,AKTINR,I-AKT_INR,327.58,0.0,360.0,360.0,589.644,1173.39156,sell,limit_order,filled,I,2024-11-26 04:01:26 UTC,2024-11-26 09:19:56 UTC
73f1746e-a99f-11ef-b372-abcae43ef3da,AKTINR,I-AKT_INR,327.5862,0.0,344.153,344.153,563.698867443,0.0,buy,limit_order,filled,I,2024-11-23 13:32:58 UTC,2024-11-23 13:36:46 UTC
3d3d7514-a99d-11ef-9ce5-af765850f433,TONINR,I-TON_INR,230.97,0.0,498.0,498.0,575.1153,1144.479447,sell,limit_order,filled,I,2024-11-23 13:17:07 UTC,2024-11-23 13:28:35 UTC
b64405de-a80a-11ef-ae90-8b1c0b3cceb6,TONINR,I-TON_INR,230.9769,0.0,484.4,484.4,559.4260518,0.0,buy,limit_order,filled,I,2024-11-21 13:15:43 UTC,2024-11-21 13:16:36 UTC
d1ac3a0a-a808-11ef-870e-c3decee701fd,ETHINR,I-ETH_INR,0.4005,0.0,285020.0,285020.0,570.75255,1135.7975745,sell,limit_order,filled,I,2024-11-21 13:02:10 UTC,2024-11-21 13:11:40 UTC
41f0a9ea-a6e2-11ef-a5bf-cb5c9eb7c019,GOATINR,I-GOAT_INR,1195.3,0.0,100.901,100.901,603.0348265,1200.039304735,sell,limit_order,filled,I,2024-11-20 01:53:37 UTC,2024-11-20 01:55:13 UTC
8b66fb82-a585-11ef-9fe8-f72b7efff020,GOATINR,I-GOAT_INR,468.75,0.0,96.0,96.0,265.5,0.0,buy,limit_order,filled,I,2024-11-18 08:17:25 UTC,2024-11-18 08:30:30 UTC
1598c2a6-a4a3-11ef-9be6-e38117c096aa,ENAINR,I-ENA_INR,1120.58,730.76,49.49,49.49,113.82393162,0.0,buy,limit_order,partially_cancelled,I,2024-11-17 05:16:22 UTC,2024-11-17 05:50:44 UTC
704f98b2-df93-11ee-a2c6-8bab2c1ee659,SCINR,I-SC_INR,44527.0,0.0,1.026,1.026,228.42351,0.0,buy,limit_order,filled,I,2024-03-11 10:38:03 UTC,2024-03-11 11:00:43 UTC
ab6de8c0-df7c-11ee-a708-1b9c34a0ee44,MANTAINR,I-MANTA_INR,81.6,0.0,318.8999,318.8999,130.1111592,258.921206808,sell,limit_order,filled,I,2024-03-11 07:55:04 UTC,2024-03-11 09:54:10 UTC
0150d72c-deb8-11ee-b92b-1f4ae1adfab7,GALAINR,I-GALA_INR,3268.0,0.0,6.3,6.3,102.942,204.85458,sell,limit_order,filled,I,2024-03-10 08:27:17 UTC,2024-03-10 08:33:15 UTC
9235b35a-dd6b-11ee-bbf2-77dc4e4396f6,SHIBINR,I-SHIB_INR,8459421.0,0.0,0.00304,0.00304,128.5831992,255.880566408,sell,limit_order,filled,I,2024-03-08 16:47:37 UTC,2024-03-08 16:57:34 UTC
4646626e-dc53-11ee-9fa7-b322f8073b5a,PIXELINR,I-PIXEL_INR,444.8,0.0,52.999,52.999,117.869776,234.56085424,sell,limit_order,filled,I,2024-03-07 07:21:11 UTC,2024-03-07 07:29:22 UTC
63fc7744-17dc-11ee-8bb4-efc2971ccd49,XRPINR,I-XRP_INR,733.0,649.0,40.68,40.68,17.0856,0.0,buy,limit_order,partially_cancelled,I,2023-07-01 06:56:23 UTC,2023-07-01 09:01:31 UTC
